"emissor","url","env","proporcao","rds","vpc","ec2","servicos_restantes","impostos","total"
conveniomartminas,https://regulatorio-conveniomartminas.izatta.tech/,PRD,0.009291,24.15,10.17,7.12,7.96,11.12,60.52
andorinha,https://regulatorio-andorinha.izatta.tech/,PRD,0.002823,36.97,10.17,7.12,7.96,11.12,73.34
becker,https://regulatorio-becker.izatta.tech/,PRD,0.012774,62.84,10.17,7.12,7.96,11.12,99.21
cartaoemporioalex,https://regulatorio-cartaoemporioalex.izatta.tech/,PRD,0.003445,38.59,10.17,7.12,7.96,11.12,74.96
bahamascred,https://regulatorio-bahamascred.izatta.tech/,PRD,0.015573,70.11,10.17,7.12,7.96,11.12,106.48
humanitarian,https://regulatorio-humanitarian.izatta.tech/,PRD,0.001579,33.74,10.17,7.12,7.96,11.12,70.11
credsea-new,https://regulatorio-credsea-new.izatta.tech/,PRD,0.019803,81.11,10.17,7.12,7.96,11.12,117.48
confpay,https://regulatorio-confpay.izatta.tech/,PRD,0.002201,35.36,10.17,7.12,7.96,11.12,71.73
cartaolopes,https://regulatorio-cartaolopes.izatta.tech/,PRD,0.011530,59.61,10.17,7.12,7.96,11.12,95.98
cartaolopes-new,https://regulatorio-cartaolopes-new.izatta.tech/,PRD,0.011530,59.61,10.17,7.12,7.96,11.12,95.98
imperatriz,https://regulatorio-imperatriz.izatta.tech/,PRD,0.011530,59.61,10.17,7.12,7.96,11.12,95.98
festclub-reprocessamento,https://regulatorio-festclub-reprocessamento.izatta.tech/,PRD,0.026703,79.58,10.17,7.12,7.96,11.12,115.95
crediffato,https://regulatorio-crediffato.izatta.tech/,PRD,0.019915,81.40,10.17,7.12,7.96,11.12,117.77
cartaoconfianca,https://regulatorio-cartaoconfianca.izatta.tech/,PRD,0.041750,118.69,10.17,7.12,7.96,11.12,155.06
vuon,https://regulatorio-vuon.izatta.tech/,PRD,0.045925,119.36,10.17,7.12,7.96,11.12,155.73
dev-reg-01,https://regulatorio-dev-reg-01.izatta.tech/,DEV,0.000000,0.00,10.17,7.12,7.96,11.12,36.37
infra-izatta,https://regulatorio-infra-izatta.izatta.tech/,PRD,0.000000,0.00,10.17,7.12,7.96,11.12,36.37
clubdemais,https://regulatorio-clubdemais.izatta.tech/,PRD,0.001579,4.10,10.17,7.12,7.96,11.12,40.47
servirconvenio,https://regulatorio-servirconvenio.izatta.tech/,PRD,0.001579,4.10,10.17,7.12,7.96,11.12,40.47
voxcred,https://regulatorio-voxcred.izatta.tech/,PRD,0.056311,146.35,10.17,7.12,7.96,11.12,182.72
nagumo,https://regulatorio-nagumo.izatta.tech/,PRD,0.001579,4.10,10.17,7.12,7.96,11.12,40.47
