"nome","id_volume","tipo","tamanho","estado","recursos_anexados"
–,vol-0da9f96dc1a236ae2,gp2,"30 GiB",Em uso,i-07e7ac8af87c4173a (FRIGELAR - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0d28bb04c515cdb22,gp2,"150 GiB",Em uso,i-0121c4d70462bf5ce (HML-REPROCESSAMENTO-INTERNO - BUSINESS - 1A): /dev/sda1 (attached)
CENTAURO MAIS - BUSINESS - 1A,vol-02b3ccc9fa078d07e,gp2,"30 GiB",Em uso,i-0f5b3b84c3551b644 (CENTAURO MAIS - BUSINESS - 1A): /dev/sda1 (attached)
OBENCARD - BUSINESS - 1A,vol-0050cf9b2bde0cadf,gp2,"30 GiB",Em uso,i-0a2ee7be375a06857 (OBENCARD - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0694e2d822a6292a0,gp2,"30 GiB",Em uso,i-009bed12fff9d810f (NGVCRED - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-087b9dadd85a3f487,gp2,"30 GiB",Em uso,i-06007bb777072b823 (CARTAOLOPES-NEW - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0c617cffc3f70ea69,gp2,"30 GiB",Em uso,i-06f62f6cf6b3dc3a2 (DESENVOLVIMENTO-TEMP - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-03ed9287d4e3befab,gp2,"8 GiB",Em uso,i-04031c3f1c482f511 ([Base] NAT_Subnet_Lab_us-east-1a): /dev/xvda (attached)
–,vol-0fd21bb9927c73e98,gp2,"30 GiB",Em uso,i-0e2b062de0c325339 (CARTAO MONTREAL - NEW - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-08e4e36045ae6cd12,gp2,"30 GiB",Em uso,i-0612246f514e0e654 (ANDORINHA - BUSINESS - 1A): /dev/sda1 (attached)
CONSUMO EXTERNO - FIABILITE,vol-0be67495673915295,gp2,"10 GiB",Em uso,i-0dacceb8573ef581e (HML CONSUMO EXTERNO): /dev/sda1 (attached)
–,vol-0c8464238b9a53159,gp2,"25 GiB",Em uso,i-07e7b6eec183e0661 (CLUBPAY - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0750d8d53ae15f5c5,gp2,"30 GiB",Em uso,i-06a52143487b25621 (HML-REPROCESSAMENTO-INTERNO - A - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-01025a4456c01154d,gp2,"30 GiB",Em uso,i-060c10760ad69d43c (HML-REG-EXTERNO - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-031c9d2c0a5f3d93f,gp2,"20 GiB",Em uso,i-0266808ca995d4eb6 (FESTCLUB - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-05b371d49e71755c5,gp2,"20 GiB",Em uso,i-076d1104929978b53 (SOL - BUSINESS -1A): /dev/sda1 (attached)
–,vol-0bae1fff6c042a051,gp2,"30 GiB",Em uso,i-0eda2052ce785be34 (SERVIRCONVENIO - BUSINESS - 1A): /dev/sda1 (attached)
CARTAO LOPES - BUSINESS - 1A,vol-0695edaf63b439e16,gp2,"30 GiB",Em uso,i-074c3d7ac20707034 (CARTAO LOPES - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-07ce7568ed3a22c54,gp2,"20 GiB",Em uso,i-0eefdfc8d3e1c26f3 (AVENIDA - SUPPORT - NEW): /dev/sda1 (attached)
–,vol-03accdc79c8106b1c,gp2,"30 GiB",Em uso,i-0e8929f2d41218b00 (CASSOL - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0b462181d83b13313,gp2,"20 GiB",Em uso,i-062a2638d717b2a1d (FACILPRAPAGAR - BUSINESS - 1A): /dev/sda1 (attached)
CREDIFFATO - SUPPORT - NEW - 1A,vol-08c137bc96cdc7da5,gp2,"30 GiB",Em uso,i-0ec3f0d52796ffd17 (CREDIFFATO - SUPPORT - NEW - 1A): /dev/sda1 (attached)
–,vol-014994e3b4710b02d,gp2,"30 GiB",Em uso,i-0fe04ebb5c7965d1f (AVENIDA - BUSINESS - NEW): /dev/sda1 (attached)
NOSSPAY - BUSINESS -1A,vol-081ce211cc46c860d,gp2,"20 GiB",Em uso,i-0d00c036f02aa8854 (NOSSOPAY - BUSINESS -1A): /dev/sda1 (attached)
–,vol-00d1911788917de13,gp2,"50 GiB",Em uso,i-0b9d3d01bfd18cb8b ([BASE]ZABBIX-PROXY-0): /dev/sda1 (attached)
PAGMODA - BUSINESS - 1A,vol-081cd62bd6f130527,gp2,"30 GiB",Em uso,i-0f990e4808a0e1123 (PAGMODA - BUSINESS - 1A): /dev/sda1 (attached)
"",CARTAOLEVEMAIS - BUSINESS - NEW - 1A,vol-066015a1ea518762c,gp2,"30 GiB",Em uso
–,vol-093d844c81762fa53,gp2,"30 GiB",Em uso,i-04b63f6ece22ebb61 (HML-REG-EXTERNO - SUPPORT - 1A): /dev/sda1 (attached)
ZABBIX-PROXY-HUBBLE-VPC Sharing,vol-04e64993789dcff17,gp2,"8 GiB",Em uso,i-0db08ea19e16b2c76 (ZABBIX-PROXY-HUBBLE): /dev/sda1 (attached)
BAHAMASCRED - BUSINESS - NEW - 1A,vol-0af37f90036f0cb32,gp2,"30 GiB",Em uso,i-06b99b70fa259b4bd (BAHAMASCRED - BUSINESS - NEW - 1A): /dev/sda1 (attached)
QUEIROZ - BUSINESS - 1A,vol-0018fcf21005cd794,gp2,"30 GiB",Em uso,i-0b06135aece522c17 (QUEIROZ - BUSINESS - 1A): /dev/sda1 (attached)
"",CARTAOCONFIANCA - SUPPORT - NEW - 1A,vol-0c7e1819feeb28676,gp2,"30 GiB",Em uso
–,vol-0526bdbc9adad33ff,gp2,"30 GiB",Em uso,i-04f488e9b922a45bc (CONFPAY-NEW - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-07c03a907bb9cbec8,gp2,"30 GiB",Em uso,i-0985fcd4f30d5e3df (pgbadger): /dev/xvda (attached)
CADERNETA - BUSINESS - 1A,vol-03e4b3b60d724731b,gp2,"30 GiB",Em uso,i-02b7d94fae480925b (CADERNETA - BUSINESS - 1A): /dev/sda1 (attached)
Rancher v2,vol-09cd65eac828ca635,gp2,"50 GiB",Em uso,i-0921de4608a3d5807 (Rancher v1.6.30): /dev/xvda (attached)
MILLA - BUSINESS - 1A,vol-09455bb0907382ea2,gp2,"30 GiB",Em uso,i-07409f756717e47d7 (MILLA - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0574d23cc70b7549c,gp2,"30 GiB",Em uso,i-0ed261ad6fb771f1d (DROGAL - BUSINESS - 1A): /dev/sda1 (attached)
[PRD] NG-TEMPLATE-PRD-IZATTA,vol-0efcb4803ae989550,gp3,"30 GiB",Em uso,i-0767bd1163cec0318 ([PRD] NG-TEMPLATE-PRD-IZATTA): /dev/xvda (attached)
–,vol-05f551419d9532969,gp2,"30 GiB",Em uso,i-031e3a203f578beb6 (SOUDI - BUSINESS - NEW): /dev/sda1 (attached)
"",CARTAOCONFIANCA - BUSINESS - NEW - 1A,vol-0b34ffbb3f3141ec7,gp2,"30 GiB",Em uso
PROD CONSUMO EXTERNO - new,vol-0443e9f33b5fbe967,gp2,"10 GiB",Em uso,i-0fb161456f4434fac (PROD CONSUMO EXTERNO - new): /dev/sda1 (attached)
–,vol-0963f64877014df1d,gp2,"20 GiB",Em uso,i-0b89e4e10494a774c (IMPERATRIZ - BUSINESS - NEW - 1A): /dev/sda1 (attached)
CREDIFFATO - BUSINESS - NEW - 1A,vol-02c0967cb04935c4e,gp2,"30 GiB",Em uso,i-0a59916d9949870fd (CREDIFFATO - BUSINESS - NEW - 1A): /dev/sda1 (attached)
–,vol-068ad34c5961f713c,gp2,"20 GiB",Em uso,i-024818ab4a3f6d5d3 (SAVEGNAGOPRIVATE - SUPPORT - 1A): /dev/sda1 (attached)
CONDOR - BUSINESS - 1A,vol-0060a8cebceee8c21,gp2,"30 GiB",Em uso,i-0b6ef271354473ef7 (CONDOR - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0b2f7e3fe3fdcb5d8,gp2,"30 GiB",Em uso,i-0b0dc82a89f4a0b87 (GUANABARA - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0245ae8ec7cf4b23a,gp2,"30 GiB",Em uso,i-0b20de9be5f2c9f11 (VERAN - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-07c6907b249e9f492,gp2,"30 GiB",Em uso,i-0d6c31822c960ca7e (HUMANITARIAN - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-05d3d97bcc62a3ecc,gp2,"8 GiB",Em uso,i-0d49e5e8b8a62f130 ([Base] OpenVPN-New): /dev/xvda (attached)
–,vol-077a7e92dfc1348d8,gp2,"30 GiB",Em uso,i-0016966ebce864016 (CREDSEA-NEW - BUSINESS - 1A): /dev/sda1 (attached)
CADERNETA - SUPPORT - 1A,vol-0cb95796d4ea26157,gp2,"30 GiB",Em uso,i-09a75deadac943383 (CADERNETA - SUPPORT - 1A): /dev/sda1 (attached)
–,vol-0a641ecbe33b19d51,gp2,"30 GiB",Em uso,i-0e4be8744a67adbef (UNICOMPRA - BUSINESS - 1A): /dev/sda1 (attached)
DOCK ACQUIRER - BUSINESS - 1A,vol-07c15e56e8d90de0b,gp2,"30 GiB",Em uso,i-06e284d12dda112ea (DOCK ACQUIRER - BUSINESS - 1A): /dev/sda1 (attached)
–,vol-0be448a7b74c0f90f,gp2,"20 GiB",Em uso,i-0e92d5cb2720c68a5 (BANCOBARIGUI - BUSINESS - NEW): /dev/sda1 (attached)
[PRD] NG-TEMPLATE-PRD-IZATTA,vol-0ea5d9c8b4ac678fc,gp3,"30 GiB",Em uso,i-0f51f49b2758d68c9 ([PRD] NG-TEMPLATE-PRD-IZATTA): /dev/xvda (attached)
–,vol-046a4887016974a4b,gp2,"8 GiB",Em uso,i-0aecb8fa961e1a92f ([Base] NAT_Subnet_Lab_us-east-1c): /dev/xvda (attached)
–,vol-038261bb3fbf1d072,gp2,"20 GiB",Em uso,i-0ba91fe11bfdbf8be (ROLDAO - BUSINESS - NEW): /dev/sda1 (attached)
–,vol-0a088912cf941b19b,gp2,"20 GiB",Em uso,i-0af5cbd36f811ec1a (SAVEGNAGOPRIVATE - BUSINESS - 1A): /dev/sda1 (attached)
VUON - BUSINESS - NEW - 1A,vol-063ed54c7908ada70,gp2,"30 GiB",Em uso,i-03d239f0accab687a (VUON - BUSINESS - NEW - 1A): /dev/sda1 (attached)
CREDSEA - BUSINESS - NEW,vol-01943481d5f72b351,gp2,"20 GiB",Em uso,i-0091257f788dd1a26 (CREDSEA - BUSINESS - NEW): /dev/sda1 (attached)
CAEDU - BUSINESS - NEW - 1A,vol-06cf9a8a9a9b65114,gp2,"30 GiB",Em uso,i-02f22bb58c98c4eb9 (CAEDU - BUSINESS - NEW - 1A ): /dev/sda1 (attached)
–,vol-04e993e60bc3d3865,gp2,"30 GiB",Em uso,i-0b02e1d06f39c2dbb (BEMBARATO - BUSINESS - 1A): /dev/sda1 (attached)
[BASE]ZABBIX-PROXY-volume-0,vol-0db27f692b4507d1f,gp2,"50 GiB",Em uso,i-0b9d3d01bfd18cb8b ([BASE]ZABBIX-PROXY-0): /dev/xvdf (attached)
–,vol-087c82a7528a91ba5,gp2,"30 GiB",Em uso,i-06951f8975ea01ef4 (CONFPAY - BUSINESS - 1A): /dev/sda1 (attached)
TORRATORRA - SUPPORT - NEW - 1A,vol-0e0c3cc24c1758ca4,gp2,"30 GiB",Em uso,i-02f9e37303014b94c (TORRATORRA - SUPPORT - NEW - 1A): /dev/sda1 (attached)
–,vol-0b05ce6d1b5d2d72c,gp2,"20 GiB",Em uso,i-02af8a9b10889e339 (CLUBDEMAIS - BUSINESS - 1A): /dev/sda1 (attached)
VOXCRED - BUSINESS - NEW - 1A,vol-089763b7604700519,gp2,"30 GiB",Em uso,i-0607c05805cc6f27b (VOXCRED - BUSINESS - NEW - 1A): /dev/sda1 (attached)
–,vol-08308d33cdf247a06,gp2,"30 GiB",Em uso,i-0bc6651d9dd0dcb4f (JBCARD - BUSINESS - 1A): /dev/sda1 (attached)
