"nome","instancia","estado_instancia","tipo_instancia","id_publico","ip_privado","monitoramento","grupo_seguranca","nome_chave","id_volume","nome_dispositivo","tipo_dispositivo","data_lancamento","plataforma","emissor"
CREFISA - BUSINESS - 1A,i-08197a0cd4e510288,Executando,t3a.xlarge,"54.147.147.211","10.12.2.7",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0546e5be54de8eeaa,/dev/sda1,ebs,"2022/12/21 19:28 GMT-3",Linux/UNIX,crefisa
OBENCARD - BUSINESS - 1A,i-0a2ee7be375a06857,Executando,t3a.xlarge,"3.85.138.200","10.12.2.15",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0050cf9b2bde0cadf,/dev/sda1,ebs,"2021/03/01 16:52 GMT-3",Linux/UNIX,obencard
MILLA - BUSINESS - 1A,i-07409f756717e47d7,Executando,t3a.xlarge,"174.129.185.68","10.12.2.57",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-09455bb0907382ea2,/dev/sda1,ebs,"2021/05/10 11:12 GMT-3",Linux/UNIX,milla
FLAMCARD - BUSINESS - 1A,i-09da39701946f557f,Executando,t3a.xlarge,"3.228.175.50","10.12.2.61",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-037cccab8b528847e,/dev/sda1,ebs,"2023/11/03 10:29 GMT-3",Linux/UNIX,flamcard
CADERNETA - BUSINESS - 1A,i-02b7d94fae480925b,Executando,t3a.xlarge,"3.230.66.255","10.12.2.31",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-03e4b3b60d724731b,/dev/sda1,ebs,"2024/01/29 07:27 GMT-3",Linux/UNIX,caderneta
CADERNETA - SUPPORT - 1A,i-09a75deadac943383,Executando,t3a.medium,"3.210.36.240","10.12.2.18",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0cb95796d4ea26157,/dev/sda1,ebs,"2021/08/11 16:04 GMT-3",Linux/UNIX,caderneta
CARTAO LOPES - BUSINESS - 1A,i-074c3d7ac20707034,Executando,t3a.xlarge,"44.197.13.60","10.12.2.35",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0695edaf63b439e16,/dev/sda1,ebs,"2021/09/28 19:22 GMT-3",Linux/UNIX,cartaolopes
SERVIR PRIVATE - BUSINESS - 1A,i-0f00b9c9e45244ac4,Executando,t3a.xlarge,"54.198.17.153","10.12.2.37",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-05842b634b4a171d1,/dev/sda1,ebs,"2023/11/03 09:33 GMT-3",Linux/UNIX,servirprivate
CONDOR - BUSINESS - 1A,i-0b6ef271354473ef7,Executando,t3a.xlarge,"54.144.2.145","10.12.2.54",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0060a8cebceee8c21,/dev/sda1,ebs,"2022/12/21 19:28 GMT-3",Linux/UNIX,condor
BAHAMASCRED - SUPPORT - NEW - 1A,i-04647869632fda781,Executando,t3a.medium,"52.72.150.83","10.12.2.11",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0dd69903cf17f58cd,/dev/sda1,ebs,"2022/05/04 10:38 GMT-3",Linux/UNIX,bahamascred
BAHAMASCRED - BUSINESS - NEW - 1A,i-06b99b70fa259b4bd,Executando,t3a.xlarge,"100.26.26.56","10.12.2.45",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0af37f90036f0cb32,/dev/sda1,ebs,"2022/05/04 10:52 GMT-3",Linux/UNIX,bahamascred
CARTAOLEVEMAIS - BUSINESS - NEW - 1A,i-0bfad8fdc5c790c8d,Executando,t3a.xlarge,"18.207.61.101","10.12.2.24",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-066015a1ea518762c,/dev/sda1,ebs,"2022/05/04 14:18 GMT-3",Linux/UNIX,cartaolevemais
CLUBPAY - BUSINESS - 1A,i-07e7b6eec183e0661,Executando,t3a.xlarge,"54.225.49.54","10.12.2.29",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0c8464238b9a53159,/dev/sda1,ebs,"2023/11/03 10:00 GMT-3",Linux/UNIX,clubpay
CREDSEA - BUSINESS - NEW,i-0091257f788dd1a26,Executando,t3a.xlarge,"3.225.121.255","10.12.2.22",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-01943481d5f72b351,/dev/sda1,ebs,"2024/04/23 15:08 GMT-3",Linux/UNIX,credsea
FACILPRAPAGAR - BUSINESS - 1A,i-062a2638d717b2a1d,Executando,t3a.xlarge,"54.242.95.128","10.12.2.55",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0b462181d83b13313,/dev/sda1,ebs,"2022/05/04 16:26 GMT-3",Linux/UNIX,facilprapagar
VOXCRED - SUPPORT - NEW - 1A,i-03016d8cfa4e60876,Executando,t3a.medium,"3.223.138.190","10.12.2.39",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-080d53fbd77ac78cf,/dev/sda1,ebs,"2023/10/27 09:42 GMT-3",Linux/UNIX,voxcred
VOXCRED - BUSINESS - NEW - 1A,i-0607c05805cc6f27b,Executando,t3a.xlarge,"3.221.60.191","10.12.2.50",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-089763b7604700519,/dev/sda1,ebs,"2023/10/27 09:42 GMT-3",Linux/UNIX,voxcred
CAEDU - BUSINESS - NEW - 1A,i-02f22bb58c98c4eb9,Executando,t3a.2xlarge,"34.202.223.145","10.12.2.13",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-06cf9a8a9a9b65114,/dev/sda1,ebs,"2023/11/03 21:39 GMT-3",Linux/UNIX,caedu
CAEDU - SUPPORT - NEW - 1A,i-02d282a4a51032f58,Executando,t3a.medium,"35.168.194.191","10.12.2.53",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-00b3ee722eb99d31c,/dev/sda1,ebs,"2023/11/03 21:35 GMT-3",Linux/UNIX,caedu
AVENIDA - SUPPORT - NEW,i-0eefdfc8d3e1c26f3,Executando,t3a.medium,"3.219.14.25","10.12.2.43",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-07ce7568ed3a22c54,/dev/sda1,ebs,"2022/05/05 10:37 GMT-3",Linux/UNIX,avenida
CARTAOCONFIANCA - SUPPORT - NEW - 1A,i-05bfbbcd177712851,Executando,t3a.medium,"54.157.135.179","10.12.2.20",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0c7e1819feeb28676,/dev/sda1,ebs,"2022/08/17 10:17 GMT-3",Linux/UNIX,cartaoconfianca
SOUDI - BUSINESS - NEW,i-031e3a203f578beb6,Executando,t3a.xlarge,"3.230.139.117","10.12.2.36",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-05f551419d9532969,/dev/sda1,ebs,"2022/05/05 10:41 GMT-3",Linux/UNIX,soudi
FESTCLUB - SUPPORT - 1A,i-0aaf7bc4513f3dd3e,Executando,t3a.medium,"3.230.75.196","10.12.2.25",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-02a0e669adb7f7857,/dev/sda1,ebs,"2022/05/11 18:05 GMT-3",Linux/UNIX,festclub
IMPERATRIZ - BUSINESS - NEW - 1A,i-0b89e4e10494a774c,Executando,t3a.xlarge,"3.217.127.143","10.12.2.51",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0963f64877014df1d,/dev/sda1,ebs,"2022/06/24 10:22 GMT-3",Linux/UNIX,imperatriz
HML CONSUMO EXTERNO,i-0dacceb8573ef581e,Executando,t2.micro,"35.153.47.27","10.12.2.58",disabled,"SSH new,Service Web Gateway,HTTP / HTTPS,Monitoramento",regulatorio,vol-0be67495673915295,/dev/sda1,ebs,"2024/06/27 08:00 GMT-3",Linux/UNIX,hml-consumo-externo
